,STATEFP,COUNTYFP,GEOID,node_density_km,street_density_km,circuity_avg,street_length_total,street_segment_count,streets_per_node_avg,orientation_entropy
110,36,59,36059,137.27215064062898,12233.67578018737,1.0879116734003043,14365409.568926143,231604,2.8721772792694424,3.4684793454989555
111,36,53,36053,8.138395641991263,2086.1032960551534,1.0847790833612003,3572963.901346786,17662,2.543008824162422,3.4697544704749825
112,36,115,36115,4.828159705845638,1716.3497805360778,1.0927991051507429,3760345.36648177,12768,2.421724333522405,3.5376364923681964
113,36,119,36119,92.97068580727162,9697.818227368227,1.1191655308981647,12560652.52748126,155660,2.5833859287802285,3.5701159454170197
114,36,49,36049,1.9490179381184443,1056.0323405947531,1.0858442763543643,3532718.0555992196,7576,2.338803680981595,3.551790682702397
115,36,69,36069,19.097884337182414,2967.060090375977,1.1024422307585642,5091479.850073654,40972,2.505736604418406,3.416833804856179
116,36,23,36023,5.565355960564924,1829.9917974255009,1.087115842711263,2377028.6747743096,8998,2.5039424540047035,3.441310020540824
117,36,85,36085,254.7328588918441,18187.118616000174,1.0596765710653315,4845488.660087436,101252,2.9824509702801065,3.544856622109405
118,36,29,36029,47.42924105707618,5070.142604675527,1.0922810403601237,16110975.32250843,208987,2.7714647805085195,3.159527883131069
119,36,79,36079,39.78326425035286,5055.319795548675,1.1385396231554983,3223169.0644378136,29682,2.3465405085748077,3.5526380692832533
120,36,57,36057,10.335324136240436,2356.727506417188,1.0732950083437196,2504414.7490468053,14062,2.5727943184922153,3.561467854166813
121,36,105,36105,8.428566887838647,2195.821097743934,1.107735348784504,5667901.131738822,26301,2.4220904578047433,3.549819910220027
122,36,73,36073,3.221849035876961,864.0291674813557,1.0572078281560116,1829242.4274888947,8554,2.5255827591262276,2.847290533767915
123,36,65,36065,13.247611907430851,2351.532381879743,1.0857286620191167,7660277.237069265,56441,2.618282933611401,3.555382306553006
124,36,9,36009,5.264293340781954,1774.226921598543,1.1007928258882635,6076658.218987102,23156,2.576594564614531,3.447853731816484
125,36,123,36123,8.037887980873085,2042.6662160413312,1.0763821682223587,1988056.7937892054,9436,2.423239166560143,3.3392696083202096
126,36,107,36107,6.806951091864346,1862.590123800891,1.091841187462208,2523147.779348007,10946,2.386183711094241,3.5282872338394755
127,36,55,36055,35.249487152822255,3825.6140719725636,1.1104071049260256,13541677.022046732,169807,2.7210236106881243,3.2510573215190246
128,36,95,36095,4.800945252987845,1743.2457359292341,1.1020303236932478,2827859.3226964357,9202,2.3808423215202876,3.5692161243905063
129,36,7,36007,17.905170838033168,2880.1858045100767,1.0909318131517083,5336134.715345059,42363,2.558014047568806,3.3856702744823344
130,36,83,36083,18.706781327390903,2967.9401934973143,1.1130315161284257,5114905.777941501,41194,2.556872111417848,3.52797571627814
131,36,99,36099,6.777154388392438,1912.8030393883573,1.0605267862120222,1934209.9172744057,8878,2.6032394571720414,3.288996613586725
132,36,81,36081,337.7935716114984,25636.000848920747,1.036263239040533,12049908.621321097,265880,3.351621151811357,3.4640794195556572
133,36,37,36037,11.334905079412975,2237.7032612583453,1.0785642593343725,2870838.4055479104,18145,2.503232017604181,3.282407020391841
134,36,117,36117,4.691663111248904,1030.0234572550476,1.0738149791677731,3689645.6143928706,20760,2.4776865405212423,3.1681920839657343
135,36,63,36063,12.614665434711538,1604.6711396351714,1.0859603328756327,4736417.745076902,48954,2.628807004350862,3.0802714812524905
136,36,47,36047,451.5048865902528,34293.70330273745,1.0218641733093188,8602347.549967766,199504,3.525521601313826,3.3656914721777498
137,36,15,36015,14.044091041228587,2694.9950943750555,1.0924303393631032,2867107.7100576255,20380,2.733685830935011,3.382475676327214
138,36,121,36121,5.909317129867053,1714.2872469517094,1.064064681687012,2647153.7716890615,11052,2.433972602739726,3.2245473956040036
